Ind	Poss_Paralogs	Low_Coverage/Errors	Miss_Genotype	Total_Failed	Total_Loci	Prop_Success
BMA_1A-A01_00888-bma	11	91	97	199	6048	0.967096560846561
BMA_1A-A02_00887-bma	3	89	17	109	6048	0.981977513227513
BMA_1A-A03_00886-bma	4	91	20	115	6048	0.98098544973545
BMA_1A-A04_00885bma	1	94	20	115	6048	0.98098544973545
BMA_1A-A05_00884-bma	1	82	16	99	6048	0.983630952380952
BMA_1A-A06_00883-bma	4	79	26	109	6048	0.981977513227513
BMA_1A-A07_00882-bma	12	90	1255	1357	6048	0.775628306878307
BMA_1A-A08_00881-bma	1	86	12	99	6048	0.983630952380952
BMA_1A-A09_FLG-33	6	84	27	117	6048	0.980654761904762
BMA_1A-A10_BB-17-036	5	102	146	253	6048	0.958167989417989
BMA_1A-A11_BM9	12	89	370	471	6048	0.922123015873016
BMA_1A-B02_CS-25	7	83	23	113	6048	0.981316137566138
BMA_1A-B03_CS-03	19	81	7	107	6048	0.982308201058201
BMA_1A-B04_CS-04	20	93	147	260	6048	0.957010582010582
BMA_1A-B05_CS-05	7	84	96	187	6048	0.969080687830688
BMA_1A-B06_CS-06	17	99	836	952	6048	0.842592592592593
BMA_1A-B08_CS-08	6	97	11	114	6048	0.981150793650794
BMA_1A-B09_CS-26	18	82	1135	1235	6048	0.795800264550265
BMA_1A-B10_CS-27	6	91	317	414	6048	0.931547619047619
BMA_1A-B11_CS-28	3	90	21	114	6048	0.981150793650794
BMA_1A-B12_CS-12	3	83	18	104	6048	0.982804232804233
BMA_1A-C01_CCGN-001	8	81	16	105	6048	0.982638888888889
BMA_1A-C02_CCGN-002	1	87	34	122	6048	0.979828042328042
BMA_1A-C03_CCGN-003	3	85	5	93	6048	0.984623015873016
BMA_1A-C04_CCGN-004	6	86	27	119	6048	0.980324074074074
BMA_1A-C06_811-001	4	83	21	108	6048	0.982142857142857
BMA_1A-C07_811-002	13	89	14	116	6048	0.980820105820106
BMA_1A-C08_811-003	6	100	31	137	6048	0.977347883597884
BMA_1A-C09_811-004	3	91	9	103	6048	0.982969576719577
BMA_1A-C10_811-006	22	91	115	228	6048	0.962301587301587
BMA_1A-C11_811-007	9	90	5	104	6048	0.982804232804233
BMA_1A-C12_811-008	5	90	52	147	6048	0.975694444444444
BMA_1A-D02_CCGN01	5	82	12	99	6048	0.983630952380952
BMA_1A-E01_BM001	11	106	152	269	6048	0.955522486772487
BMA_1A-E02_BM002	17	94	142	253	6048	0.958167989417989
BMA_1A-E03_BM003	3	98	27	128	6048	0.978835978835979
BMA_1A-E04_BM004	8	87	4	99	6048	0.983630952380952
BMA_1A-E05_BM008	5	90	12	107	6048	0.982308201058201
BMA_1A-E07_BM044	4	91	50	145	6048	0.976025132275132
BMA_1A-E10_BM092	6	95	25	126	6048	0.979166666666667
BMA_1A-E11_BM103	7	93	441	541	6048	0.910548941798942
BMA_1A-E12_BM111	6	96	19	121	6048	0.979993386243386
BMA_1A-F02_FLG-02	5	87	15	107	6048	0.982308201058201
BMA_1A-F03_FLG-05	1	88	10	99	6048	0.983630952380952
BMA_1A-F04_FLG-08	3	91	15	109	6048	0.981977513227513
BMA_1A-F05_FLG-23	3	83	12	98	6048	0.983796296296296
BMA_1A-F06_FLG-25	17	88	1012	1117	6048	0.815310846560847
BMA_1A-F07_FLG-27	7	77	9	93	6048	0.984623015873016
BMA_1A-F08_FLG-28	1	93	10	104	6048	0.982804232804233
BMA_1A-F09_FLG-29	4	97	20	121	6048	0.979993386243386
BMA_1A-F10_FLG-31	4	99	85	188	6048	0.968915343915344
BMA_1A-F11_FLG-32	5	80	10	95	6048	0.984292328042328
BMA_1A-G01_BB-17-020	5	84	17	106	6048	0.982473544973545
BMA_1A-G03_BB-17-027	3	87	18	108	6048	0.982142857142857
BMA_1A-G04_BB-17-029	4	82	10	96	6048	0.984126984126984
BMA_1A-G05_BB-17-032	6	107	81	194	6048	0.96792328042328
BMA_1A-G06_BB-17-034	5	80	13	98	6048	0.983796296296296
BMA_1A-G07_BB-17-035	4	80	17	101	6048	0.983300264550265
BMA_1A-G09_BB-17-047	8	91	43	142	6048	0.976521164021164
BMA_1A-G10_BB-17-048	3	87	18	108	6048	0.982142857142857
BMA_1A-G11_BB-17-109	3	87	15	105	6048	0.982638888888889
BMA_1A-G12_BB-17-111	10	83	284	377	6048	0.937665343915344
BMA_1A-H01_BM81	5	89	12	106	6048	0.982473544973545
BMA_1A-H02_MS18	11	76	6	93	6048	0.984623015873016
BMA_1A-H03_CC02-08	7	94	6	107	6048	0.982308201058201
BMA_1A-H04_CC02-35	7	84	11	102	6048	0.983134920634921
BMA_1B-A01_00816-bma	3	86	10	99	6048	0.983630952380952
BMA_1B-A02_00815-bma	3	94	15	112	6048	0.981481481481482
BMA_1B-A03_00814-bma	1	89	9	99	6048	0.983630952380952
BMA_1B-A04_00813-bma	1	89	19	109	6048	0.981977513227513
BMA_1B-A05_00812-bma	3	93	10	106	6048	0.982473544973545
BMA_1B-A06_00880-bma	4	88	28	120	6048	0.98015873015873
BMA_1B-A07_00887-bma	3	90	9	102	6048	0.983134920634921
BMA_1B-A08_00818-bma	5	104	113	222	6048	0.963293650793651
BMA_1B-A09_00817-bma	14	94	544	652	6048	0.892195767195767
BMA_1B-A10_00811-bma	4	90	13	107	6048	0.982308201058201
BMA_1B-A11_00810-bma	2	93	14	109	6048	0.981977513227513
BMA_1B-A12_00809-bma	7	80	17	104	6048	0.982804232804233
BMA_1B-B01_LA-001	12	90	22	124	6048	0.979497354497355
BMA_1B-B02_LA-003	10	85	182	277	6048	0.954199735449735
BMA_1B-B03_LA-014	21	81	6	108	6048	0.982142857142857
BMA_1B-B04_LA-049	17	89	162	268	6048	0.955687830687831
