SAMPLE_ID	FISH_ID	Bile_Nap	Bile_PHN	Bile_BaP	Bile_Sum_PAH	Liver_Sum_PAH	Liver_Sum_LMW	Liver_Sum_HMW	Naphthalene	C1_Naphthalene	C2_Naphthalene	C3_Naphthalene	C4_Naphthalene	Acenaphthylene	Acenaphthene	Fluorene	C1_Fluorene	C2_Fluorene	C3_Fluorene	C4_Fluorene	Dibenzothiophene	C1_Dibenzothiophene	C2_Dibenzothiophene	C3_Dibenzothiophene	C4_Dibenzothiophene	Phenanthrene	Anthracene	C1_Phenanthrene/Anthracene	C2_Phenanthrene/Anthracene	C3_Phenanthrene/Anthracene	C4_Phenanthrene/Anthracene	C5_Phenanthrene/Anthracene	Fluoranthene	Pyrene	C1_Fluoranthene/Pyrene	C2_Fluoranthene/pyrene	C3_Fluoranthene/Pyrene	C4_Fluoranthene/Pyrene	C5_Fluoranthene/Pyrene	Benzo[a]anthracene	Chrysene	C1_Benzo[a]anthracene/Chrysene	C2_Benzo[a]anthracene/Chrysene	C3_Benzo[a]anthracene/Chrysene	C4_Benz[a]anthracene/Chrysene	C5_Benz[a]anthracene/Chrysene	Benzo[b]fluoranthene	Benzo[k]fluoranthene	Benzo[e]pyrene	Benzo[a]pyrene	Perylene	Dibenz[a,h]anthracene	Indenopyrene	Benzo[ghi]perylene
00809-bma	EZ-01-080	10646.73392	2971.600019	125.09	13743.42352	1173.44	1170.04	3.40	17.68	53.19	672.47	107.39	86.75	0.00	0.00	1.59	22.81	11.69	0.66	0.00	0.06	10.64	36.88	0.00	0.00	3.85	0.59	114.79	29.00	0.00	0.00	0.00	0.29	1.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.43	0.19	0.38	0.31	0.00	0.00	0.45	0.28
00810-bma	EZ-01-081	20338.24517	5233.799607	387.04	25959.0872	1022.98	1018.54	4.44	27.67	123.43	381.11	135.01	45.89	0.00	0.00	1.61	14.78	1.66	1.32	0.00	0.24	4.40	25.14	0.00	0.00	5.85	1.74	171.58	75.47	1.64	0.00	0.00	0.86	0.90	0.00	0.00	0.00	0.00	0.00	0.15	0.23	0.00	0.00	0.00	0.00	0.00	0.42	0.33	0.32	0.37	0.28	0.14	0.26	0.18
00811-bma	EZ-01-082	427.5257167		0.98	428.5013415	2208.95	2206.15	2.80	61.12	265.91	1019.10	452.84	156.28	0.00	2.88	1.83	13.98	4.66	3.20	0.00	0.22	4.19	18.28	0.00	0.00	3.58	1.24	112.28	71.11	13.45	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.95	0.00	1.85	0.00	0.00	0.00	0.00
00812-bma	EZ-01-083	1924.766879	466.3599553	4.27	2395.400507	745.77	743.88	1.89	34.52	129.77	242.21	99.71	14.92	0.00	1.38	1.59	10.82	2.32	0.84	0.00	0.29	6.39	17.39	0.00	0.00	5.52	1.44	108.15	64.75	1.87	0.00	0.00	0.75	0.77	0.00	0.00	0.00	0.00	0.00	0.06	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.20	0.00	0.00	0.00	0.00
00813-bma	EZ-01-084	6290.478703	1501.808096	44.12	7836.403197	1065.91	1064.06	1.85	26.87	130.79	377.78	149.59	67.74	0.00	1.29	1.49	15.84	3.88	1.41	0.00	0.18	2.67	21.68	0.00	0.00	5.83	1.71	176.08	77.17	2.06	0.00	0.00	0.71	0.79	0.00	0.00	0.00	0.00	0.00	0.06	0.08	0.00	0.00	0.00	0.00	0.00	0.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00
00814-bma	EZ-01-085	7166.57174	1051.206242	61.14	8278.914148	1086.65	1084.56	2.09	25.48	126.43	423.18	133.54	51.96	0.00	0.99	1.49	15.64	3.89	1.18	0.00	0.25	8.12	30.20	0.00	0.00	6.27	1.77	176.09	76.17	1.91	0.00	0.00	0.69	0.80	0.00	0.00	0.00	0.00	0.00	0.08	0.13	0.00	0.00	0.00	0.00	0.00	0.16	0.11	0.00	0.12	0.00	0.00	0.00	0.00
00815-bma	EZ-01-086	9543.290222	2236.226054	241.63	12021.14142	989.73	989.34	0.39	24.59	78.34	454.21	101.93	103.89	0.00	4.06	1.49	20.44	15.59	1.58	0.00	0.11	5.16	37.06	0.00	0.00	6.01	1.03	105.25	26.36	2.24	0.00	0.00	0.25	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
00816-bma	EZ-01-087	13613.62641	2076.213497	151.80	15841.63724	1100.03	1098.68	1.35	39.39	119.74	477.02	123.31	114.41	0.00	1.52	1.86	22.74	11.99	0.74	0.00	0.14	8.95	48.66	0.00	0.00	4.32	0.56	87.65	35.68	0.00	0.00	0.00	0.36	0.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
00817-bma	EZ-01-088	3890.484463	858.1801325	16.38	4765.047278	1396.88	1396.69	0.19	11.51	92.38	663.63	121.70	160.10	49.43	4.04	1.32	24.69	15.24	1.92	0.00	0.09	6.30	37.50	0.00	0.00	6.12	1.10	164.67	33.95	1.00	0.00	0.00	0.08	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
00818-bma	EZ-01-089	2809.184018	741.2119977	6.10	3556.500738	2639.10	2638.49	0.61	99.30	231.54	1567.29	194.45	215.90	0.00	1.09	0.98	28.48	6.76	2.89	0.00	0.05	2.87	55.75	0.00	0.00	0.00	6.82	187.19	34.31	2.82	0.00	0.00	0.13	0.48	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
