SAMPLE_ID	LAT	LONG	POP	ESTUARY
CCGN-001	27.840993	-97.320977	CC	CorpusChristi
CCGN-002	27.840993	-97.320977	CC	CorpusChristi
CCGN-003	27.840993	-97.320977	CC	CorpusChristi
CCGN-004	27.840993	-97.320977	CC	CorpusChristi
CC-07	27.832787	-97.301502	CC	CorpusChristi
CC-08	27.832787	-97.301502	CC	CorpusChristi
CC-09	27.832787	-97.301502	CC	CorpusChristi
CC-11	27.832787	-97.301502	CC	CorpusChristi
CC-12	27.832787	-97.301502	CC	CorpusChristi
CC-15	27.85126	-97.300612	CC	CorpusChristi
CC-17	27.85126	-97.300612	CC	CorpusChristi
CC-01	27.832083	-97.299562	CC	CorpusChristi
CC-02	27.832083	-97.299562	CC	CorpusChristi
CC-03	27.832083	-97.299562	CC	CorpusChristi
CC-04	27.832083	-97.299562	CC	CorpusChristi
CC-05	27.832083	-97.299562	CC	CorpusChristi
CC-06	27.832083	-97.299562	CC	CorpusChristi
CC-18	27.846995	-97.298022	CC	CorpusChristi
811-007	27.799338	-97.161933	CC	CorpusChristi
811-008	27.799338	-97.161933	CC	CorpusChristi
CC-20	27.809085	-97.157308	CC	CorpusChristi
CC-19	27.813072	-97.155658	CC	CorpusChristi
CC-41	27.787758	-97.143897	CC	CorpusChristi
CC-42	27.787758	-97.143897	CC	CorpusChristi
CC-43	27.787758	-97.143897	CC	CorpusChristi
CC-44	27.787758	-97.143897	CC	CorpusChristi
CC-45	27.787758	-97.143897	CC	CorpusChristi
CC-46	27.787758	-97.143897	CC	CorpusChristi
CC-21	27.809172	-97.14044	CC	CorpusChristi
CC-22	27.809172	-97.14044	CC	CorpusChristi
CC-23	27.809172	-97.14044	CC	CorpusChristi
CC-24	27.809172	-97.14044	CC	CorpusChristi
811-001	27.791665	-97.137535	CC	CorpusChristi
811-003	27.791665	-97.137535	CC	CorpusChristi
CC-26	27.797543	-97.13665	CC	CorpusChristi
CC-27	27.797543	-97.13665	CC	CorpusChristi
CC-28	27.797543	-97.13665	CC	CorpusChristi
CC-29	27.797543	-97.13665	CC	CorpusChristi
CC02-35	27.797368	-97.135113	CC	CorpusChristi
CC-33	27.797368	-97.135113	CC	CorpusChristi
CC-37	27.797368	-97.135113	CC	CorpusChristi
811-002	27.789262	-97.1337	CC	CorpusChristi
811-004	27.789262	-97.1337	CC	CorpusChristi
811-006	27.789262	-97.1337	CC	CorpusChristi
811-009	27.789262	-97.1337	CC	CorpusChristi
811-010	27.789262	-97.1337	CC	CorpusChristi
811-011	27.789262	-97.1337	CC	CorpusChristi
CC-38	27.798848	-97.13212	CC	CorpusChristi
CC-39	27.798848	-97.13212	CC	CorpusChristi
CC-40	27.798848	-97.13212	CC	CorpusChristi
00880-bma	19.387033	-92.330933	CAMP	Campeche
00881-bma	19.387033	-92.330933	CAMP	Campeche
00882-bma	19.387033	-92.330933	CAMP	Campeche
00883-bma	19.387033	-92.330933	CAMP	Campeche
00884-bma	19.387033	-92.330933	CAMP	Campeche
00885bma	19.387033	-92.330933	CAMP	Campeche
00886-bma	19.387033	-92.330933	CAMP	Campeche
00887-bma	19.387033	-92.330933	CAMP	Campeche
00887-bma	19.387033	-92.330933	CAMP	Campeche
00888-bma	19.387033	-92.330933	CAMP	Campeche
00732-bma	19.29945	-92.2528	CAMP	Campeche
00733-bma	19.29945	-92.2528	CAMP	Campeche
00735-bma	19.29945	-92.2528	CAMP	Campeche
00737-bma	19.29945	-92.2528	CAMP	Campeche
00744-bma	19.29945	-92.2528	CAMP	Campeche
00760-bma	19.29945	-92.2528	CAMP	Campeche
00762-bma	19.29945	-92.2528	CAMP	Campeche
00809-bma	19.29945	-92.2528	CAMP	Campeche
00810-bma	19.29945	-92.2528	CAMP	Campeche
00811-bma	19.29945	-92.2528	CAMP	Campeche
00812-bma	19.29945	-92.2528	CAMP	Campeche
00813-bma	19.29945	-92.2528	CAMP	Campeche
00814-bma	19.29945	-92.2528	CAMP	Campeche
00815-bma	19.29945	-92.2528	CAMP	Campeche
00816-bma	19.29945	-92.2528	CAMP	Campeche
