SAMPLE_ID	POP	LAT	LONG
00732-bma	CAMP	19.2995	-92.2528
00733-bma	CAMP	19.2995	-92.2528
00735-bma	CAMP	19.2995	-92.2528
00737-bma	CAMP	19.2995	-92.2528
00740-bma	CAMP	19.2995	-92.2528
00744-bma	CAMP	19.2995	-92.2528
00760-bma	CAMP	19.2995	-92.2528
00762-bma	CAMP	19.2995	-92.2528
00809-bma	CAMP	19.2995	-92.2528
00810-bma	CAMP	19.2995	-92.2528
00811-bma	CAMP	19.2995	-92.2528
00812-bma	CAMP	19.2995	-92.2528
00813-bma	CAMP	19.2995	-92.2528
00814-bma	CAMP	19.2995	-92.2528
00815-bma	CAMP	19.2995	-92.2528
00816-bma	CAMP	19.2995	-92.2528
00817-bma	CAMP	19.2995	-92.2528
00818-bma	CAMP	19.2995	-92.2528
00880-bma	CAMP	19.3870	-92.3309
00881-bma	CAMP	19.3870	-92.3309
00882-bma	CAMP	19.3870	-92.3309
00883-bma	CAMP	19.3870	-92.3309
00884-bma	CAMP	19.3870	-92.3309
00885bma	CAMP	19.3870	-92.3309
00886-bma	CAMP	19.3870	-92.3309
00887-bma	CAMP	19.3870	-92.3309
00887-bma	CAMP	19.3870	-92.3309
00888-bma	CAMP	19.3870	-92.3309
811-001	CC	27.791665	-97.137535
811-002	CC	27.789262	-97.133700
811-003	CC	27.791665	-97.137535
811-004	CC	27.789262	-97.133700
811-006	CC	27.789262	-97.133700
811-007	CC	27.799338	-97.161933
811-008	CC	27.799338	-97.161933
811-009	CC	27.789262	-97.133700
811-010	CC	27.789262	-97.133700
811-011	CC	27.789262	-97.133700
BB-17-020	FLGN	28.206350	-82.799540
BB-17-026	FLGN	28.206350	-82.799540
BB-17-027	FLGN	28.206350	-82.799540
BB-17-029	FLGN	28.206350	-82.799540
BB-17-032	FLGN	28.200750	-82.800320
BB-17-034	FLGN	28.200750	-82.800320
BB-17-035	FLGN	28.200750	-82.800320
BB-17-036	FLGN	28.200750	-82.800320
BB-17-047	FLGN	28.252250	-82.767840
BB-17-048	FLGN	28.252250	-82.767840
BB-17-087	FLGN	28.567870	-82.708020
BB-17-088	FLGN	28.567870	-82.708020
BB-17-108	FLGN	29.662580	-83.447960
BB-17-109	FLGN	29.662580	-83.447960
BB-17-111	FLGN	29.662580	-83.447960
BB-17-112	FLGN	29.662580	-83.447960
BB-17-116	FLGN	29.662580	-83.447960
BB-17-118	FLGN	29.662580	-83.447960
BB-17-119	FLGN	29.662580	-83.447960
BB-17-120	FLGN	29.662580	-83.447960
BB-17-121	FLGN	29.662580	-83.447960
BB-17-123	FLGN	29.662580	-83.447960
BB-17-140	FLGN	29.464200	-83.340140
BB-17-141	FLGN	29.464200	-83.340140
BB-17-142	FLGN	29.464200	-83.340140
BB-17-143	FLGN	29.464200	-83.340140
BB-17-144	FLGN	29.464200	-83.340140
BB-17-145	FLGN	29.464200	-83.340140
BB-17-146	FLGN	29.464200	-83.340140
BB-17-147	FLGN	29.464200	-83.340140
BB-17-150	FLGN	29.500960	-83.432460
BB-17-153	FLGN	29.500960	-83.432460
BB-17-156	FLGN	29.500960	-83.432460
BB-17-168	FLGN	29.500960	-83.432460
BB-17-169	FLGN	29.500960	-83.432460
BB-17-174	FLGN	29.507960	-83.939230
BB-17-176	FLGN	29.507960	-83.939230
BB-17-177	FLGN	29.507960	-83.939230
BB-17-178	FLGN	29.507960	-83.939230
BB-17-179	FLGN	29.507960	-83.939230
BB-17-180	FLGN	29.507960	-83.939230
BB-17-181	FLGN	29.507960	-83.939230
BB-17-183	FLGN	29.840470	-83.645870
BB-17-184	FLGN	29.840470	-83.645870
BB-17-190	FLGN	29.842080	-83.658880
BB-17-191	FLGN	29.842080	-83.658880
BB-17-192	FLGN	29.842080	-83.658880
BB-17-193	FLGN	29.842080	-83.658880
BB-17-330	FLGN	29.050700	-82.838940
BB-17-493	FLGN	30.042910	-84.126370
BB-17-517	FLGN	30.059300	-84.029950
BB-17-518	FLGN	30.059300	-84.029950
BB-17-519	FLGN	30.059300	-84.029950
BB-17-520	FLGN	30.059300	-84.029950
BB-17-521	FLGN	30.059300	-84.029950
BB-17-522	FLGN	30.059300	-84.029950
BB-17-523	FLGN	30.059300	-84.029950
BB-17-524	FLGN	30.059300	-84.029950
BB-17-588	FLGN	30.059300	-84.029950
BM001	FLA	28.076750	-80.600167
BM002	FLA	27.834200	-80.523250
BM003	FLA	27.834017	-80.524433
BM004	FLA	27.933983	-80.501950
BM005	FLA	27.933983	-80.501950
BM006	FLA	27.933983	-80.501950
BM007	FLA	27.933983	-80.501950
BM008	FLA	28.064617	-80.554100
BM9	FLA	27.628017	-80.357883
BM010	FLA	27.628017	-80.357883
BM011	FLA	27.628017	-80.357883
BM012	FLA	27.790717	-80.423000
BM013	FLA	27.790717	-80.423000
BM014	FLA	27.790717	-80.423000
BM15	FLA	27.790717	-80.423000
BM016	FLA	27.790717	-80.423000
BM17	FLA	27.790717	-80.423000
BM018	FLA	28.252800	-80.678700
BM019	FLA	28.252800	-80.678700
BM020	FLA	28.252800	-80.678700
BM021	FLA	28.252800	-80.678700
BM022	FLA	28.252800	-80.678700
BM023	FLA	28.252800	-80.678700
BM024	FLA	28.356983	-80.654850
BM025	FLA	28.088767	-80.578700
BM026	FLA	27.203967	-80.214267
BM027	FLA	27.203967	-80.214267
BM028	FLA	27.203967	-80.214267
BM029	FLA	27.203967	-80.214267
BM030	FLA	27.203967	-80.214267
BM031	FLA	27.205350	-80.224367
BM032	FLA	27.205350	-80.224367
BM033	FLA	28.041767	-80.580233
BM034	FLA	28.041767	-80.580233
BM035	FLA	28.356800	-80.657950
BM036	FLA	28.223100	-80.649583
BM037	FLA	28.236533	-80.673517
BM038	FLA	28.208533	-80.631617
BM039	FLA	27.203867	-80.214867
BM040	FLA	27.203867	-80.214867
BM041	FLA	27.203867	-80.214867
BM042	FLA	27.203867	-80.214867
BM043	FLA	27.218950	-80.222633
BM044	FLA	28.063000	-80.553717
BM045	FLA	28.480250	-80.624750
BM046	FLA	28.290150	-80.679600
BM047	FLA	28.521933	-80.591183
BM048	FLA	28.521933	-80.591183
BM049	FLA	28.521933	-80.591183
BM050	FLA	28.464900	-80.631933
BM051	FLA	28.479883	-80.624733
BM052	FLA	28.280383	-80.689550
BM053	FLA	28.208217	-80.642250
BM054	FLA	28.357983	-80.675717
BM055	FLA	28.319633	-80.662783
BM056	FLA	28.357050	-80.639300
BM057	FLA	28.311350	-80.660733
BM058	FLA	28.311350	-80.660733
BM059	FLA	28.311350	-80.660733
BM060	FLA	28.311350	-80.660733
BM061	FLA	28.311350	-80.660733
BM062	FLA	27.705167	-80.382900
BM063	FLA	28.597983	-80.597533
BM064	FLA	28.531450	-80.610017
BM065	FLA	27.898767	-80.507800
BM066	FLA	27.898767	-80.507800
BM067	FLA	27.898767	-80.507800
BM068	FLA	27.898767	-80.507800
BM069	FLA	27.898767	-80.507800
BM070	FLA	27.898767	-80.507800
BM071	FLA	27.898767	-80.507800
BM072	FLA	27.898767	-80.507800
BM073	FLA	27.898767	-80.507800
BM074	FLA	27.898767	-80.507800
BM075	FLA	27.898767	-80.507800
BM076	FLA	27.898767	-80.507800
BM077	FLA	27.898767	-80.507800
BM078	FLA	27.898767	-80.507800
BM079	FLA	27.898767	-80.507800
BM080	FLA	27.898767	-80.507800
BM-081	FLA	28.326600	-80.664567
BM81	FLA	28.326600	-80.664567
BM082	FLA	28.326600	-80.664567
BM083	FLA	28.326600	-80.664567
BM084	FLA	28.326600	-80.664567
BM085	FLA	28.326600	-80.664567
BM086	FLA	28.326600	-80.664567
BM087	FLA	28.326600	-80.664567
BM088	FLA	28.326600	-80.664567
BM089	FLA	28.326600	-80.664567
BM090	FLA	28.326600	-80.664567
BM091	FLA	28.488250	-80.609250
BM092	FLA	28.509917	-80.607583
BM093	FLA	28.509917	-80.607583
BM094	FLA	28.509917	-80.607583
BM095	FLA	28.509917	-80.607583
BM096	FLA	28.509917	-80.607583
BM097	FLA	28.509917	-80.607583
BM098	FLA	28.509917	-80.607583
BM099	FLA	28.509917	-80.607583
BM100	FLA	28.509917	-80.607583
