rad_haplotyper -v BMA.recode.vcf -r reference.fasta -x 35 -d 10 -z 3 -m .25 -g BMA.gen -p popmap
Locus	Sites	Haplotypes	Inds_Haplotyped	Total_Inds	Prop_Haplotyped	Status	Poss_Paralog	Low_Cov/Geno_Err	Miss_Geno	Comment
dDocent_Contig_1	1	2	374	384	0.974	PASSED	0	0	10	
dDocent_Contig_10	1	2	384	384	1.000	PASSED	0	0	0	
dDocent_Contig_10020	2	3	374	384	0.974	PASSED	0	0	10	
dDocent_Contig_10021	1	2	382	384	0.995	PASSED	0	0	2	
dDocent_Contig_10024	1	2	383	384	0.997	PASSED	0	0	1	
dDocent_Contig_10026	1	2	383	384	0.997	PASSED	0	0	1	
dDocent_Contig_10030	1	2	384	384	1.000	PASSED	0	0	0	
dDocent_Contig_10031	2	3	384	384	1.000	PASSED	0	0	0	
dDocent_Contig_10032	1	2	384	384	1.000	PASSED	0	0	0	
dDocent_Contig_10033	1	2	384	384	1.000	PASSED	0	0	0	
dDocent_Contig_10035	1	2	376	384	0.979	PASSED	0	0	8	
dDocent_Contig_10045	3	4	379	384	0.987	PASSED	0	0	5	
dDocent_Contig_10053	1	2	380	384	0.990	PASSED	0	0	4	
dDocent_Contig_10056	3	4	376	384	0.979	PASSED	0	0	8	
dDocent_Contig_10058	2	3	373	384	0.971	PASSED	0	0	11	
dDocent_Contig_10060	1	2	350	384	0.911	PASSED	0	0	34	
dDocent_Contig_10067	1	2	384	384	1.000	PASSED	0	0	0	
dDocent_Contig_10068	1	2	383	384	0.997	PASSED	0	0	1	
dDocent_Contig_10069	1	2	379	384	0.987	PASSED	0	0	5	
dDocent_Contig_10071	5	4	370	384	0.964	PASSED	0	0	14	
dDocent_Contig_10072	1	2	374	384	0.974	PASSED	0	0	10	
dDocent_Contig_10079	2	3	384	384	1.000	PASSED	0	0	0	
dDocent_Contig_10081	1	2	384	384	1.000	PASSED	0	0	0	
dDocent_Contig_10090	3	4	380	384	0.990	PASSED	0	0	4	
dDocent_Contig_10092	1	2	377	384	0.982	PASSED	0	0	7	
dDocent_Contig_10094	1	2	383	384	0.997	PASSED	0	0	1	
dDocent_Contig_10095	2	3	376	384	0.979	PASSED	0	0	8	
dDocent_Contig_10096	2	3	368	384	0.958	PASSED	0	0	16	
dDocent_Contig_10097	3	4	384	384	1.000	PASSED	0	0	0	
dDocent_Contig_10100	2	2	383	384	0.997	PASSED	0	0	1	
dDocent_Contig_10104	1	2	372	384	0.969	PASSED	0	0	12	
dDocent_Contig_10122	1	2	381	384	0.992	PASSED	0	0	3	
dDocent_Contig_10123	3	4	384	384	1.000	PASSED	0	0	0	
dDocent_Contig_10124	2	3	377	384	0.982	PASSED	2	0	5	
dDocent_Contig_10125	1	2	384	384	1.000	PASSED	0	0	0	
dDocent_Contig_10126	1	2	383	384	0.997	PASSED	0	0	1	
dDocent_Contig_10127	3	4	379	384	0.987	PASSED	0	1	4	
dDocent_Contig_10134	1	2	384	384	1.000	PASSED	0	0	0	
dDocent_Contig_10136	1	2	366	384	0.953	PASSED	0	0	18	
dDocent_Contig_10151	3	4	384	384	1.000	PASSED	0	0	0	
dDocent_Contig_10152	3	4	374	384	0.974	PASSED	0	0	10	
dDocent_Contig_10153	1	2	374	384	0.974	PASSED	0	0	10	
dDocent_Contig_10155	1	2	372	384	0.969	PASSED	0	0	12	
